barkele01,Len,Barker,Leonard Harold,,barkele01,1986,ATL,NL,barkele01,880000,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0
barkele01,Len,Barker,Leonard Harold,,barkele01,1986,ATL,NL,barkele01,880000,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
barkele01,Len,Barker,Leonard Harold,,barkele01,1986,ATL,NL,barkele01,880000,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0
barkele01,Len,Barker,Leonard Harold,,barkele01,1986,ATL,NL,barkele01,880000,21,20,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0
barkele01,Len,Barker,Leonard Harold,,barkele01,1986,ATL,NL,barkele01,880000,20,18,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
barkele01,Len,Barker,Leonard Harold,,barkele01,1986,ATL,NL,barkele01,880000,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
benedbr01,Bruce,Benedict,Bruce Edwin,,benedbr01,1986,ATL,NL,benedbr01,565000,22,16,22,22,0,22,0,0,0,0,0,0,0,0,0,0,1
benedbr01,Bruce,Benedict,Bruce Edwin,,benedbr01,1986,ATL,NL,benedbr01,565000,76,69,76,76,0,76,0,0,0,0,0,0,0,0,0,1,0
benedbr01,Bruce,Benedict,Bruce Edwin,,benedbr01,1986,ATL,NL,benedbr01,565000,120,111,120,120,0,120,0,0,0,0,0,0,0,0,0,0,1
benedbr01,Bruce,Benedict,Bruce Edwin,,benedbr01,1986,ATL,NL,benedbr01,565000,90,86,90,90,0,90,0,0,0,0,0,0,0,0,0,0,0
benedbr01,Bruce,Benedict,Bruce Edwin,,benedbr01,1986,ATL,NL,benedbr01,565000,118,111,118,118,0,118,0,0,0,0,0,0,0,0,0,1,0
benedbr01,Bruce,Benedict,Bruce Edwin,,benedbr01,1986,ATL,NL,benedbr01,565000,134,128,134,134,0,134,0,0,0,0,0,0,0,0,0,0,0
benedbr01,Bruce,Benedict,Bruce Edwin,,benedbr01,1986,ATL,NL,benedbr01,565000,95,95,95,95,0,95,0,0,0,0,0,0,0,0,0,0,0
benedbr01,Bruce,Benedict,Bruce Edwin,,benedbr01,1986,ATL,NL,benedbr01,565000,70,67,70,70,0,70,0,0,0,0,0,0,0,0,0,0,0
benedbr01,Bruce,Benedict,Bruce Edwin,,benedbr01,1986,ATL,NL,benedbr01,565000,64,49,64,57,0,57,0,0,0,0,0,0,0,0,0,7,0
