ID,yearID,teamID,team_ID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr,ID:1,yearID:1,teamID:1,team_ID:1,lgID:1,playerID:1,salary,playerID:2,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,birth_date,debut_date,finalgame_date,death_date
87302,2006,ARI,2506,NL,aquingr01,42,0,40,42,42,0,0,0,0,0,0,0,0,0,0,0,0,16464,2005,ARI,2476,NL,aquingr01,325000,aquingr01,1978,1,11,D.R.,San Cristobal,Puerto Palenque,,,,,,,Greg,Aquino,Gregori Emilio,190,73,R,R,2004-07-02,2009-06-17,aquig001,aquingr01,1978-01-11,2004-07-02,2009-06-17,
87302,2006,ARI,2506,NL,aquingr01,42,0,40,42,42,0,0,0,0,0,0,0,0,0,0,0,0,17295,2006,ARI,2506,NL,aquingr01,342000,aquingr01,1978,1,11,D.R.,San Cristobal,Puerto Palenque,,,,,,,Greg,Aquino,Gregori Emilio,190,73,R,R,2004-07-02,2009-06-17,aquig001,aquingr01,1978-01-11,2004-07-02,2009-06-17,
87302,2006,ARI,2506,NL,aquingr01,42,0,40,42,42,0,0,0,0,0,0,0,0,0,0,0,0,18541,2007,MIL,2551,NL,aquingr01,399000,aquingr01,1978,1,11,D.R.,San Cristobal,Puerto Palenque,,,,,,,Greg,Aquino,Gregori Emilio,190,73,R,R,2004-07-02,2009-06-17,aquig001,aquingr01,1978-01-11,2004-07-02,2009-06-17,
87302,2006,ARI,2506,NL,aquingr01,42,0,40,42,42,0,0,0,0,0,0,0,0,0,0,0,0,19015,2008,BAL,2568,AL,aquingr01,500000,aquingr01,1978,1,11,D.R.,San Cristobal,Puerto Palenque,,,,,,,Greg,Aquino,Gregori Emilio,190,73,R,R,2004-07-02,2009-06-17,aquig001,aquingr01,1978-01-11,2004-07-02,2009-06-17,
87338,2006,ARI,2506,NL,batismi01,34,33,32,34,34,0,0,0,0,0,0,0,0,0,0,0,0,5405,1992,PIT,2119,NL,batismi01,109000,batismi01,1971,2,19,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Miguel,Batista,Miguel Jerez,210,73,R,R,1992-04-11,2012-09-11,batim001,batismi01,1971-02-19,1992-04-11,2012-09-11,
87338,2006,ARI,2506,NL,batismi01,34,33,32,34,34,0,0,0,0,0,0,0,0,0,0,0,0,8731,1996,FLO,2220,NL,batismi01,120000,batismi01,1971,2,19,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Miguel,Batista,Miguel Jerez,210,73,R,R,1992-04-11,2012-09-11,batim001,batismi01,1971-02-19,1992-04-11,2012-09-11,
87338,2006,ARI,2506,NL,batismi01,34,33,32,34,34,0,0,0,0,0,0,0,0,0,0,0,0,9497,1997,CHN,2243,NL,batismi01,153000,batismi01,1971,2,19,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Miguel,Batista,Miguel Jerez,210,73,R,R,1992-04-11,2012-09-11,batim001,batismi01,1971-02-19,1992-04-11,2012-09-11,
87338,2006,ARI,2506,NL,batismi01,34,33,32,34,34,0,0,0,0,0,0,0,0,0,0,0,0,10830,1998,MON,2283,NL,batismi01,173000,batismi01,1971,2,19,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Miguel,Batista,Miguel Jerez,210,73,R,R,1992-04-11,2012-09-11,batim001,batismi01,1971-02-19,1992-04-11,2012-09-11,
87338,2006,ARI,2506,NL,batismi01,34,33,32,34,34,0,0,0,0,0,0,0,0,0,0,0,0,11835,1999,MON,2313,NL,batismi01,250000,batismi01,1971,2,19,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Miguel,Batista,Miguel Jerez,210,73,R,R,1992-04-11,2012-09-11,batim001,batismi01,1971-02-19,1992-04-11,2012-09-11,
87338,2006,ARI,2506,NL,batismi01,34,33,32,34,34,0,0,0,0,0,0,0,0,0,0,0,0,12747,2000,MON,2343,NL,batismi01,325000,batismi01,1971,2,19,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Miguel,Batista,Miguel Jerez,210,73,R,R,1992-04-11,2012-09-11,batim001,batismi01,1971-02-19,1992-04-11,2012-09-11,
