ID,yearID,teamID,team_ID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr,ID:1,yearID:1,teamID:1,team_ID:1,lgID:1,playerID:1,salary,playerID:2,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,birth_date,debut_date,finalgame_date,death_date
63205,1986,ATL,1944,NL,ackerji01,21,14,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,531,1985,TOR,1943,AL,ackerji01,170000,ackerji01,1958,9,24,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210,74,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,1958-09-24,1983-04-07,1992-06-14,
63205,1986,ATL,1944,NL,ackerji01,21,14,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,551,1986,ATL,1944,NL,ackerji01,367500,ackerji01,1958,9,24,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210,74,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,1958-09-24,1983-04-07,1992-06-14,
63205,1986,ATL,1944,NL,ackerji01,21,14,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,1289,1987,ATL,1970,NL,ackerji01,350000,ackerji01,1958,9,24,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210,74,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,1958-09-24,1983-04-07,1992-06-14,
63205,1986,ATL,1944,NL,ackerji01,21,14,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,1916,1988,ATL,1996,NL,ackerji01,435000,ackerji01,1958,9,24,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210,74,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,1958-09-24,1983-04-07,1992-06-14,
63205,1986,ATL,1944,NL,ackerji01,21,14,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,2579,1989,ATL,2022,NL,ackerji01,688000,ackerji01,1958,9,24,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210,74,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,1958-09-24,1983-04-07,1992-06-14,
63205,1986,ATL,1944,NL,ackerji01,21,14,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,4130,1990,TOR,2073,AL,ackerji01,700000,ackerji01,1958,9,24,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210,74,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,1958-09-24,1983-04-07,1992-06-14,
63205,1986,ATL,1944,NL,ackerji01,21,14,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,5461,1992,SEA,2121,AL,ackerji01,275000,ackerji01,1958,9,24,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210,74,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,1958-09-24,1983-04-07,1992-06-14,
63214,1986,ATL,1944,NL,alexado01,18,17,18,17,17,0,0,0,0,0,0,0,0,0,0,1,0,532,1985,TOR,1943,AL,alexado01,875000,alexado01,1950,9,4,USA,AL,Cordova,,,,,,,Doyle,Alexander,Doyle Lafayette,190,75,R,R,1971-06-26,1989-09-27,alexd001,alexado01,1950-09-04,1971-06-26,1989-09-27,
63214,1986,ATL,1944,NL,alexado01,18,17,18,17,17,0,0,0,0,0,0,0,0,0,0,1,0,1262,1986,TOR,1969,AL,alexado01,700000,alexado01,1950,9,4,USA,AL,Cordova,,,,,,,Doyle,Alexander,Doyle Lafayette,190,75,R,R,1971-06-26,1989-09-27,alexd001,alexado01,1950-09-04,1971-06-26,1989-09-27,
63214,1986,ATL,1944,NL,alexado01,18,17,18,17,17,0,0,0,0,0,0,0,0,0,0,1,0,1290,1987,ATL,1970,NL,alexado01,650000,alexado01,1950,9,4,USA,AL,Cordova,,,,,,,Doyle,Alexander,Doyle Lafayette,190,75,R,R,1971-06-26,1989-09-27,alexd001,alexado01,1950-09-04,1971-06-26,1989-09-27,
